name;frameTime;Loudness_sma3;alphaRatio_sma3;hammarbergIndex_sma3;slope0-500_sma3;slope500-1500_sma3;spectralFlux_sma3;mfcc1_sma3;mfcc2_sma3;mfcc3_sma3;mfcc4_sma3;F0semitoneFrom27.5Hz_sma3nz;jitterLocal_sma3nz;shimmerLocaldB_sma3nz;HNRdBACF_sma3nz;logRelF0-H1-H2_sma3nz;logRelF0-H1-A3_sma3nz;F1frequency_sma3nz;F1bandwidth_sma3nz;F1amplitudeLogRelF0_sma3nz;F2frequency_sma3nz;F2amplitudeLogRelF0_sma3nz;F3frequency_sma3nz;F3amplitudeLogRelF0_sma3nz
'unknown';0.000000;8.608025e-002;-4.879430e+000;1.240326e+001;8.444685e-002;-1.688782e-002;3.908612e-003;2.884177e+000;1.061404e+001;-4.911435e+000;-1.638938e+000;0;0;0;0;0;0;5.946355e+002;1.070805e+003;-201;1.747926e+003;-201;2.731201e+003;-201
'unknown';0.010000;1.003847e-001;-3.303480e+000;1.292953e+001;9.511644e-002;-4.886119e-003;7.943175e-003;4.915848e+000;5.069356e+000;-1.008988e+001;-9.463118e-001;0;0;0;0;0;0;5.809963e+002;1.185370e+003;-201;1.686388e+003;-201;2.711952e+003;-201
'unknown';0.020000;1.190762e-001;-1.379203e+000;1.345406e+001;1.018744e-001;8.097314e-003;1.289805e-002;6.279747e+000;-2.195922e+000;-1.546246e+001;-2.185452e+000;0;0;0;0;0;0;5.635801e+002;1.322794e+003;-201;1.626120e+003;-201;2.721925e+003;-201
'unknown';0.030000;1.326627e-001;1.126123e+000;1.329995e+001;1.084670e-001;1.291615e-002;1.410330e-002;6.684698e+000;-7.774242e+000;-1.785049e+001;6.500316e-001;0;0;0;0;0;0;5.102577e+002;1.456454e+003;-1.352642e+002;1.451397e+003;-1.366338e+002;2.656930e+003;-1.352950e+002
'unknown';0.040000;1.438180e-001;2.263615e+000;1.104962e+001;9.891864e-002;1.126231e-002;1.753232e-002;3.757648e+000;-7.734670e+000;-1.266707e+001;-8.089861e-001;1.973729e+001;0;0;-4.078148e+000;5.739661e+000;2.256840e+001;5.651976e+002;1.245873e+003;-1.352642e+002;1.497446e+003;-1.366338e+002;2.692096e+003;-1.352950e+002
'unknown';0.050000;1.642699e-001;1.272544e+000;8.575160e+000;9.371798e-002;3.915176e-003;2.254170e-002;2.582904e+000;-3.365532e+000;-8.930031e+000;-9.743090e-001;1.995538e+001;0;0;-4.509977e+000;0;0;8.853558e+002;1.029021e+003;-6.498721e+001;1.856305e+003;-6.436843e+001;2.907681e+003;-6.647652e+001
'unknown';0.060000;2.219447e-001;-3.961158e+000;8.166170e+000;8.789173e-002;-4.763590e-003;8.225344e-002;5.545125e+000;5.479568e+000;2.803654e+000;-3.176626e+000;2.154974e+001;0;0;-2.682134e+000;9.075032e+000;3.066024e+001;7.676934e+002;1.250236e+003;-6.622894e+001;1.868037e+003;-6.814839e+001;2.911663e+003;-7.389888e+001
'unknown';0.070000;3.972950e-001;-1.321356e+001;1.424919e+001;8.829266e-002;-1.489704e-002;5.506935e-001;1.643854e+001;1.502378e+001;1.097791e+001;1.700348e+000;2.292789e+001;0;3.904304e+000;-7.151465e-001;7.815819e+000;2.870451e+001;8.657825e+002;1.340203e+003;-7.594522e-001;2.079008e+003;-5.795584e+000;3.050059e+003;-1.261971e+001
'unknown';0.080000;8.172440e-001;-2.045846e+001;2.057800e+001;8.617728e-002;-2.554719e-002;1.557053e+000;3.060941e+001;1.666584e+001;2.123131e+001;1.684254e+000;2.406677e+001;7.629208e-002;4.609736e+000;2.707355e+000;4.395617e+000;2.666731e+001;7.105205e+002;1.457629e+003;-5.268140e+000;1.989933e+003;-1.496519e+001;3.003720e+003;-1.950381e+001
'unknown';0.090000;1.453729e+000;-2.260938e+001;2.344415e+001;8.103073e-002;-3.703712e-002;2.262100e+000;3.806028e+001;1.176942e+001;2.480550e+001;5.326942e-001;2.382052e+001;7.629208e-002;6.020600e+000;4.534114e+000;5.821420e+000;2.405349e+001;5.875019e+002;1.192893e+003;-1.617409e-001;1.804443e+003;-1.238614e+001;2.691118e+003;-1.564419e+001
